,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
551,"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.041105598866052445,0.08717221828490432,0.03897944720056697,0.9482758620689655,10.878188954303337,0.03539618096348374,17.648003779825185
353,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'LUNCH BAG SPACEBOY DESIGN'})",frozenset({'PLASTERS IN TIN SPACEBOY'}),0.021970233876683204,0.10985116938341602,0.020552799433026223,0.9354838709677419,8.5159209157128,0.01813934355004543,13.79730687455704
550,"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER PLATES'})",frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.041814316087880936,0.09142452161587526,0.03897944720056697,0.9322033898305084,10.196426225200367,0.03515659335553746,13.401488306165833
395,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.03543586109142452,0.13961729270021261,0.03118355776045358,0.88,6.302944162436548,0.026236098770368088,7.169855894164895
330,frozenset({'SPACEBOY CHILDRENS CUP'}),frozenset({'SPACEBOY CHILDRENS BOWL'}),0.023387668320340185,0.027639971651311126,0.020552799433026223,0.8787878787878788,31.794094794094796,0.019906364943661752,8.021970233876683
326,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.08717221828490432,0.09142452161587526,0.07654145995747696,0.8780487804878049,9.604083947816223,0.06857178160258494,7.450318922749823
34,frozenset({'CHILDRENS CUTLERY SPACEBOY'}),frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),0.03472714386959603,0.03614457831325301,0.03047484053862509,0.8775510204081634,24.278911564625854,0.02921964256743487,7.871485943775106
57,frozenset({'COFFEE MUG PEARS  DESIGN'}),frozenset({'COFFEE MUG APPLES DESIGN'}),0.03472714386959603,0.06449326718639263,0.029766123316796598,0.8571428571428572,13.290423861852434,0.027526456348594443,6.548547129695255
558,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN WOODLAND ANIMALS', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.028348688873139617,0.13961729270021261,0.024096385542168676,0.8500000000000001,6.0880710659898485,0.02013841835010028,5.7358847153319195
342,"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE RED'}),0.031892274982282066,0.04890148830616584,0.026931254429482635,0.8444444444444444,17.268276972624797,0.02537167471737954,6.114204718031791
35,frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),frozenset({'CHILDRENS CUTLERY SPACEBOY'}),0.03614457831325301,0.03472714386959603,0.03047484053862509,0.8431372549019608,24.27891156462585,0.02921964256743487,6.153614457831325
327,frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.09142452161587526,0.08717221828490432,0.07654145995747696,0.8372093023255814,9.604083947816223,0.06857178160258494,5.607370659107018
170,frozenset({'PACK OF 6 SKULL PAPER PLATES'}),frozenset({'PACK OF 6 SKULL PAPER CUPS'}),0.029766123316796598,0.03330970942593905,0.024805102763997167,0.8333333333333334,25.017730496453904,0.023813601845578004,5.800141743444367
247,"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.029057406094968107,0.03260099220411056,0.024096385542168676,0.8292682926829269,25.436903499469782,0.023149085272594946,5.666194188518783
544,"frozenset({'WOODLAND CHARLOTTE BAG', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.0368532955350815,0.2232459248759745,0.03047484053862509,0.826923076923077,3.7040903540903543,0.022247492492168196,4.487912434049926
425,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN WOODLAND ANIMALS'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.04535790219702339,0.13961729270021261,0.0368532955350815,0.8124999999999999,5.819479695431471,0.03052054802777207,4.58870777226553
168,frozenset({'PACK OF 20 SKULL PAPER NAPKINS'}),frozenset({'PACK OF 6 SKULL PAPER PLATES'}),0.026222537207654145,0.029766123316796598,0.021261516654854713,0.8108108108108109,27.23938223938224,0.020480973378652394,5.128379062468362
7,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.0446491849751949,0.04890148830616584,0.03614457831325301,0.8095238095238094,16.554175293305725,0.03396116671630868,4.993267186392627
340,"frozenset({'ALARM CLOCK BAKELIKE RED', 'ALARM CLOCK BAKELIKE PINK'})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.03330970942593905,0.0446491849751949,0.026931254429482635,0.8085106382978724,18.1080715974333,0.02544400305185389,4.98905425624065
584,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'ROUND SNACK BOXES SET OF 4 FRUITS', 'PLASTERS IN TIN WOODLAND ANIMALS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.025513819985825654,0.2232459248759745,0.020552799433026223,0.8055555555555556,3.6083774250440914,0.01485694309317145,3.994735243494989
479,"frozenset({'PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN SPACEBOY'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.03543586109142452,0.14457831325301204,0.028348688873139617,0.8,5.533333333333334,0.023225431847873422,4.2771084337349405
437,"frozenset({'PLASTERS IN TIN STRONGMAN', 'ROUND SNACK BOXES SET OF4 WOODLAND'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.03401842664776754,0.13961729270021261,0.026931254429482635,0.7916666666666666,5.670262267343485,0.022181693799000562,4.129836995038978
178,frozenset({'PACK OF 6 SKULL PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.029766123316796598,0.08717221828490432,0.023387668320340185,0.7857142857142858,9.013356562137051,0.02079288932107301,4.259862981337116
166,frozenset({'PACK OF 20 SKULL PAPER NAPKINS'}),frozenset({'PACK OF 6 SKULL PAPER CUPS'}),0.026222537207654145,0.03330970942593905,0.020552799433026223,0.7837837837837839,23.530189764232322,0.01967933433822839,4.4709425939050345
354,"frozenset({'PLASTERS IN TIN SPACEBOY', 'LUNCH BAG SPACEBOY DESIGN'})",frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.026222537207654145,0.14457831325301204,0.020552799433026223,0.7837837837837839,5.4211711711711725,0.016761589234329237,3.956325301204821
431,"frozenset({'PLASTERS IN TIN STRONGMAN', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.026222537207654145,0.13961729270021261,0.020552799433026223,0.7837837837837839,5.613801618877762,0.016891679780362958,3.9792700212615184
497,"frozenset({'PLASTERS IN TIN WOODLAND ANIMALS', 'SPACEBOY LUNCH BOX'})",frozenset({'PLASTERS IN TIN SPACEBOY'}),0.031892274982282066,0.10985116938341602,0.024805102763997167,0.7777777777777779,7.080286738351256,0.02130169906289602,4.00566973777463
472,"frozenset({'PLASTERS IN TIN CIRCUS PARADE', 'ROUND SNACK BOXES SET OF 4 FRUITS'})",frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.0446491849751949,0.2232459248759745,0.03472714386959603,0.7777777777777777,3.48395061728395,0.02475939527485018,3.495393338058113
262,frozenset({'RED SPOTTY PLATE'}),frozenset({'RED SPOTTY CUP'}),0.028348688873139617,0.04677533664068037,0.021970233876683204,0.775,16.568560606060604,0.020644214411320187,4.236554059374755
